 -1.0501E+01  1.2553E-02
 -1.0476E+01  1.2653E-02
 -1.0452E+01  1.2744E-02
 -1.0428E+01  1.2828E-02
 -1.0404E+01  1.2905E-02
 -1.0379E+01  1.2974E-02
 -1.0355E+01  1.3035E-02
 -1.0331E+01  1.3083E-02
 -1.0307E+01  1.3120E-02
 -1.0282E+01  1.3145E-02
 -1.0258E+01  1.3159E-02
 -1.0234E+01  1.3163E-02
 -1.0209E+01  1.3160E-02
 -1.0185E+01  1.3151E-02
 -1.0161E+01  1.3136E-02
 -1.0137E+01  1.3112E-02
 -1.0112E+01  1.3079E-02
 -1.0088E+01  1.3035E-02
 -1.0064E+01  1.2980E-02
 -1.0040E+01  1.2914E-02
 -1.0015E+01  1.2841E-02
 -9.9912E+00  1.2760E-02
 -9.9670E+00  1.2675E-02
 -9.9427E+00  1.2585E-02
 -9.9185E+00  1.2490E-02
 -9.8942E+00  1.2388E-02
 -9.8700E+00  1.2278E-02
 -9.8457E+00  1.2159E-02
 -9.8215E+00  1.2032E-02
 -9.7972E+00  1.1897E-02
 -9.7730E+00  1.1758E-02
 -9.7487E+00  1.1616E-02
 -9.7245E+00  1.1472E-02
 -9.7002E+00  1.1325E-02
 -9.6760E+00  1.1175E-02
 -9.6517E+00  1.1020E-02
 -9.6275E+00  1.0859E-02
 -9.6032E+00  1.0693E-02
 -9.5790E+00  1.0521E-02
 -9.5547E+00  1.0347E-02
 -9.5305E+00  1.0171E-02
 -9.5062E+00  9.9959E-03
 -9.4820E+00  9.8207E-03
 -9.4577E+00  9.6450E-03
 -9.4335E+00  9.4678E-03
 -9.4092E+00  9.2879E-03
 -9.3850E+00  9.1049E-03
 -9.3607E+00  8.9194E-03
 -9.3365E+00  8.7325E-03
 -9.3122E+00  8.5459E-03
 -9.2880E+00  8.3610E-03
 -9.2637E+00  8.1782E-03
 -9.2395E+00  7.9974E-03
 -9.2152E+00  7.8175E-03
 -9.1910E+00  7.6376E-03
 -9.1667E+00  7.4568E-03
 -9.1425E+00  7.2754E-03
 -9.1182E+00  7.0940E-03
 -9.0940E+00  6.9140E-03
 -9.0697E+00  6.7364E-03
 -9.0455E+00  6.5621E-03
 -9.0212E+00  6.3911E-03
 -8.9970E+00  6.2227E-03
 -8.9727E+00  6.0559E-03
 -8.9485E+00  5.8901E-03
 -8.9242E+00  5.7248E-03
 -8.9000E+00  5.5606E-03
 -8.8757E+00  5.3981E-03
 -8.8515E+00  5.2385E-03
 -8.8272E+00  5.0824E-03
 -8.8030E+00  4.9300E-03
 -8.7787E+00  4.7810E-03
 -8.7545E+00  4.6346E-03
 -8.7302E+00  4.4901E-03
 -8.7060E+00  4.3470E-03
 -8.6817E+00  4.2054E-03
 -8.6575E+00  4.0657E-03
 -8.6332E+00  3.9287E-03
 -8.6090E+00  3.7950E-03
 -8.5847E+00  3.6649E-03
 -8.5605E+00  3.5382E-03
 -8.5362E+00  3.4145E-03
 -8.5120E+00  3.2931E-03
 -8.4877E+00  3.1736E-03
 -8.4635E+00  3.0557E-03
 -8.4392E+00  2.9397E-03
 -8.4150E+00  2.8261E-03
 -8.3907E+00  2.7154E-03
 -8.3665E+00  2.6078E-03
 -8.3422E+00  2.5034E-03
 -8.3180E+00  2.4019E-03
 -8.2937E+00  2.3028E-03
 -8.2695E+00  2.2057E-03
 -8.2452E+00  2.1104E-03
 -8.2209E+00  2.0169E-03
 -8.1967E+00  1.9255E-03
 -8.1724E+00  1.8364E-03
 -8.1482E+00  1.7502E-03
 -8.1239E+00  1.6666E-03
 -8.0997E+00  1.5858E-03
 -8.0754E+00  1.5073E-03
 -8.0512E+00  1.4308E-03
 -8.0269E+00  1.3561E-03
 -8.0027E+00  1.2832E-03
 -7.9784E+00  1.2122E-03
 -7.9542E+00  1.1433E-03
 -7.9299E+00  1.0767E-03
 -7.9057E+00  1.0125E-03
 -7.8814E+00  9.5075E-04
 -7.8572E+00  8.9117E-04
 -7.8329E+00  8.3357E-04
 -7.8087E+00  7.7781E-04
 -7.7844E+00  7.2381E-04
 -7.7602E+00  6.7162E-04
 -7.7359E+00  6.2137E-04
 -7.7117E+00  5.7317E-04
 -7.6874E+00  5.2710E-04
 -7.6632E+00  4.8315E-04
 -7.6389E+00  4.4124E-04
 -7.6147E+00  4.0127E-04
 -7.5904E+00  3.6314E-04
 -7.5662E+00  3.2679E-04
 -7.5419E+00  2.9226E-04
 -7.5177E+00  2.5959E-04
 -7.4934E+00  2.2885E-04
 -7.4692E+00  2.0007E-04
 -7.4449E+00  1.7326E-04
 -7.4207E+00  1.4840E-04
 -7.3964E+00  1.2546E-04
 -7.3722E+00  1.0440E-04
 -7.3479E+00  8.5224E-05
 -7.3237E+00  6.7954E-05
 -7.2994E+00  5.2624E-05
 -7.2752E+00  3.9270E-05
 -7.2509E+00  2.7923E-05
 -7.2267E+00  1.8602E-05
 -7.2024E+00  1.1330E-05
 -7.1782E+00  6.1293E-06
 -7.1539E+00  3.0365E-06
 -7.1297E+00  2.0945E-06
